Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
144,0.2652,0.3028,0.8932,0.8857,0.952,0.9397,0.8631,0.8541,0.8975,0.8905,0.9347,0.9301,0.9385,0.9172,0.9386,0.9172
145,0.2659,0.3035,0.8921,0.8876,0.9517,0.9401,0.8622,0.8537,0.8964,0.8927,0.9334,0.9356,0.9384,0.9166,0.9384,0.9166
146,0.2645,0.3053,0.8935,0.8859,0.952,0.9398,0.8637,0.8569,0.8977,0.8904,0.9345,0.9266,0.9388,0.9169,0.9388,0.9169
147,0.2639,0.3037,0.8934,0.8865,0.9523,0.94,0.8637,0.8546,0.8976,0.8914,0.9342,0.9315,0.9393,0.916,0.9393,0.9161
148,0.2642,0.3041,0.8928,0.887,0.9523,0.9398,0.8629,0.853,0.897,0.8922,0.934,0.9352,0.939,0.9159,0.939,0.9159
149,0.2637,0.3057,0.8934,0.8878,0.9524,0.9401,0.864,0.8518,0.8975,0.8933,0.9338,0.9391,0.9399,0.9168,0.9399,0.9168
150,0.2632,0.3032,0.8938,0.8867,0.9527,0.9403,0.8643,0.8532,0.8979,0.8918,0.9343,0.9341,0.9402,0.9171,0.9402,0.9171
151,0.2629,0.3048,0.8937,0.8863,0.9527,0.9397,0.8634,0.8571,0.8979,0.8908,0.9353,0.9272,0.9396,0.9171,0.9396,0.9171
152,0.2612,0.3079,0.8952,0.8868,0.9533,0.94,0.8656,0.848,0.8993,0.8927,0.9357,0.9424,0.9404,0.9159,0.9404,0.9159
153,0.2606,0.3046,0.8954,0.8871,0.9534,0.94,0.8661,0.856,0.8995,0.8918,0.9355,0.9307,0.9404,0.9163,0.9404,0.9163
154,0.26,0.3067,0.8954,0.8875,0.9536,0.9396,0.8662,0.849,0.8994,0.8933,0.9354,0.9426,0.941,0.9161,0.941,0.9161
155,0.2609,0.3031,0.8945,0.8888,0.9532,0.9402,0.8651,0.8546,0.8986,0.8939,0.9348,0.9369,0.9407,0.9167,0.9407,0.9167
156,0.2601,0.3025,0.8953,0.8882,0.9535,0.94,0.8656,0.854,0.8994,0.8933,0.936,0.9364,0.9409,0.9161,0.9409,0.9161
157,0.2601,0.3014,0.8951,0.8887,0.9536,0.94,0.8659,0.8578,0.8991,0.8933,0.935,0.9318,0.9408,0.9168,0.9408,0.9168
158,0.2583,0.3057,0.8954,0.8889,0.9545,0.9405,0.8662,0.8489,0.8994,0.8949,0.9353,0.9462,0.9423,0.917,0.9423,0.917
159,0.2595,0.3081,0.8953,0.8881,0.9539,0.9396,0.8663,0.8499,0.8993,0.8938,0.9349,0.9425,0.9414,0.9156,0.9414,0.9156
160,0.2585,0.304,0.8955,0.8888,0.9544,0.9406,0.8662,0.8523,0.8996,0.8943,0.9356,0.9407,0.9422,0.9168,0.9422,0.9168
161,0.258,0.3034,0.896,0.8887,0.9544,0.9404,0.8668,0.8568,0.9,0.8935,0.9359,0.9334,0.9421,0.9161,0.9421,0.9161
